drug,chi2,p,dof,cramers_v,p_adj_bh,effect,signif_0.05
alcohol,0.14178680564411986,0.7065111077601474,1,0.008672857921855378,0.7065111077601474,trivial,False
amphet,187.09077069260832,1.3720759208478063e-42,1,0.31504348627676076,3.7242060708726176e-42,mediano,True
amyl,2.782179655790638,0.09531836557519555,1,0.03841819070541013,0.10653229093698326,trivial,False
benzos,175.08335515969063,5.741218559629059e-40,1,0.30476616697123693,1.2120350292550236e-39,mediano,True
cannabis,284.0167698939667,1.0006776939850147e-63,1,0.388164947501636,3.8025752371430557e-63,mediano,True
choc,0.17449750356331642,0.6761452789309896,1,0.009621414653131254,0.7065111077601474,trivial,False
caff,7.154938562745987,0.0074757855574580055,1,0.06160944225897571,0.009469328372780141,trivial,True
coke,179.75608674031386,5.478689302251914e-41,1,0.3088062810657042,1.3011887092848296e-40,mediano,True
crack,94.40488333483378,2.5715705444524105e-22,1,0.22379045159563,3.489988596042557e-22,pequeño,True
ecstasy,318.88227827474157,2.537269168055136e-71,1,0.411300762687271,1.2052028548261895e-70,mediano,True
heroin,140.4024522685479,2.1737400411529903e-32,1,0.2729176790882396,3.754641889264256e-32,pequeño,True
ketamine,120.00852441764545,6.298942476953063e-28,1,0.25231924161874497,9.973325588509018e-28,pequeño,True
legalh,492.5843996142768,3.903724749782555e-109,1,0.5111927071860992,7.417077024586855e-108,grande,True
lsd,319.14089349226526,2.2286096756191073e-71,1,0.4114675124344571,1.2052028548261895e-70,mediano,True
meth,239.90555110149216,4.123819208113021e-54,1,0.3567504020890685,1.3058760825691233e-53,mediano,True
mushrooms,327.60869626967224,3.188762404155967e-73,1,0.41689053341847127,3.029324283948168e-72,mediano,True
nicotine,111.45471211490728,4.70429752574169e-26,1,0.24316078678668573,6.875511768391701e-26,pequeño,True
vsa,145.26287453015934,1.881440118758662e-33,1,0.27760139212051216,3.5747362256414574e-33,pequeño,True
semer,4.05864857826592,0.043945655708021635,1,0.046401823447351886,0.05218546615327569,trivial,False
