,cluster_0,cluster_1,range_pp
alcohol,98.37962962962963,98.0411361410382,0.338493488591439
amphet,65.39351851851852,33.692458374142994,31.701060144375525
amyl,32.754629629629626,29.08912830558276,3.665501324046865
benzos,63.541666666666664,32.90891283055827,30.632753836108392
cannabis,95.60185185185185,63.27130264446621,32.33054920738564
choc,98.49537037037037,98.13907933398629,0.35629103638407855
caff,99.42129629629629,97.84524975514202,1.5760465411542697
coke,61.68981481481482,30.754162585700296,30.93565222911452
crack,22.10648148148148,6.562193927522038,15.544287553959443
ecstasy,68.17129629629629,26.93437806072478,41.23691823557151
heroin,25.462962962962965,5.8765915768854065,19.58637138607756
ketamine,32.175925925925924,11.459353574926542,20.71657235099938
legalh,69.44444444444444,18.707149853085212,50.73729459135923
lsd,65.50925925925925,24.48579823702253,41.023461022236724
meth,40.85648148148148,10.088148873653282,30.7683326078282
mushrooms,70.60185185185185,28.697355533790404,41.90449631806145
nicotine,88.42592592592592,67.87463271302644,20.55129321289948
vsa,35.532407407407405,12.047012732615084,23.48539467479232
semer,0.8101851851851851,0.0979431929480901,0.7122419922370951
