,CL0,CL1,CL2,CL3,CL4,CL5,CL6
alcohol,34,34,68,198,287,759,505
amphet,976,230,243,198,75,61,102
amyl,1305,210,237,92,24,14,3
benzos,1000,116,234,236,120,84,95
caff,27,10,24,60,106,273,1385
cannabis,413,207,266,211,140,185,463
choc,32,3,10,54,296,683,807
coke,1038,160,270,258,99,41,19
crack,1627,67,112,59,9,9,2
ecstasy,1021,113,234,277,156,63,21
heroin,1605,68,94,65,24,16,13
ketamine,1490,45,142,129,42,33,4
legalh,1094,29,198,323,110,64,67
lsd,1069,259,177,214,97,56,13
meth,1429,39,97,149,50,48,73
mushrooms,982,209,260,275,115,40,4
nicotine,428,193,204,185,108,157,610
semer,1877,2,3,2,1,0,0
vsa,1455,200,135,61,13,14,7
