,age,gender,education,country,ethnicity
-2.43591,0,0,28,0,0
-1.7379,0,0,99,0,0
-1.43719,0,0,30,0,0
-1.22751,0,0,100,0,0
-1.10702,0,0,0,0,33
-0.95197,643,0,0,0,0
-0.61113,0,0,506,0,0
-0.57009,0,0,0,557,0
-0.50212,0,0,0,0,26
-0.48246,0,943,0,0,0
-0.46841,0,0,0,5,0
-0.31685,0,0,0,0,1720
-0.28519,0,0,0,118,0
-0.22166,0,0,0,0,20
-0.09765,0,0,0,54,0
-0.07854,481,0,0,0,0
-0.05921,0,0,270,0,0
0.1144,0,0,0,0,63
0.126,0,0,0,0,20
0.21128,0,0,0,20,0
0.24923,0,0,0,87,0
0.45468,0,0,480,0,0
0.48246,0,942,0,0,0
0.49788,356,0,0,0,0
0.96082,0,0,0,1044,0
1.09449,294,0,0,0,0
1.16365,0,0,283,0,0
1.82213,93,0,0,0,0
1.90725,0,0,0,0,3
1.98437,0,0,89,0,0
2.59171,18,0,0,0,0
