,0,1
age,-0.4282593402777778,0.4263034573947111
gender,-0.20325861111111113,0.17153083251714007
education,-0.3540159259259259,0.29255169441723805
country,-0.11806608796296295,0.7563233006856024
ethnicity,-0.286298125,-0.32927664054848194
Nscore,0.2870208217592593,-0.24279935357492655
Escore,-0.07877019675925927,0.06635707149853085
Oscore,0.44504201388888887,-0.3775941625857003
Ascore,-0.3423167824074074,0.2892261900097943
Cscore,-0.48895164351851855,0.4130523800195886
impulsive,0.5412072800925926,-0.4446628893241919
SS,0.6139852199074073,-0.5256493829578843
