drug,chi2,p,dof,cramers_v,p_adj_bh
alcohol,0.142,0.707,1,0.009,0.707
amphet,187.091,0.0,1,0.315,0.0
amyl,2.782,0.095,1,0.038,0.107
benzos,175.083,0.0,1,0.305,0.0
cannabis,284.017,0.0,1,0.388,0.0
choc,0.174,0.676,1,0.01,0.707
caff,7.155,0.007,1,0.062,0.009
coke,179.756,0.0,1,0.309,0.0
crack,94.405,0.0,1,0.224,0.0
ecstasy,318.882,0.0,1,0.411,0.0
heroin,140.402,0.0,1,0.273,0.0
ketamine,120.009,0.0,1,0.252,0.0
legalh,492.584,0.0,1,0.511,0.0
lsd,319.141,0.0,1,0.411,0.0
meth,239.906,0.0,1,0.357,0.0
mushrooms,327.609,0.0,1,0.417,0.0
nicotine,111.455,0.0,1,0.243,0.0
vsa,145.263,0.0,1,0.278,0.0
semer,4.059,0.044,1,0.046,0.052
