drug,chi2,p,dof,cramers_v,p_adj_bh
alcohol,1.298,0.255,1,0.026,0.285
amphet,161.855,0.0,1,0.293,0.0
amyl,21.723,0.0,1,0.107,0.0
benzos,145.877,0.0,1,0.278,0.0
cannabis,532.901,0.0,1,0.532,0.0
choc,0.194,0.66,1,0.01,0.697
caff,2.856,0.091,1,0.039,0.108
coke,88.699,0.0,1,0.217,0.0
crack,21.733,0.0,1,0.107,0.0
ecstasy,127.725,0.0,1,0.26,0.0
heroin,53.707,0.0,1,0.169,0.0
ketamine,36.781,0.0,1,0.14,0.0
legalh,165.875,0.0,1,0.297,0.0
lsd,151.322,0.0,1,0.283,0.0
meth,109.858,0.0,1,0.241,0.0
mushrooms,126.51,0.0,1,0.259,0.0
nicotine,194.44,0.0,1,0.321,0.0
vsa,23.363,0.0,1,0.111,0.0
semer,0.0,1.0,1,0.0,1.0
