drug,chi2,p,dof,cramers_v,p_adj_bh
alcohol,3.088,0.079,1,0.04,0.088
amphet,310.198,0.0,1,0.406,0.0
amyl,38.871,0.0,1,0.144,0.0
benzos,263.365,0.0,1,0.374,0.0
cannabis,618.895,0.0,1,0.573,0.0
choc,0.414,0.52,1,0.015,0.549
caff,8.962,0.003,1,0.069,0.003
coke,217.312,0.0,1,0.34,0.0
crack,66.275,0.0,1,0.188,0.0
ecstasy,312.191,0.0,1,0.407,0.0
heroin,107.82,0.0,1,0.239,0.0
ketamine,110.229,0.0,1,0.242,0.0
legalh,395.449,0.0,1,0.458,0.0
lsd,320.3,0.0,1,0.412,0.0
meth,228.725,0.0,1,0.348,0.0
mushrooms,393.139,0.0,1,0.457,0.0
nicotine,267.854,0.0,1,0.377,0.0
vsa,71.283,0.0,1,0.194,0.0
semer,0.021,0.885,1,0.003,0.885
