,cluster_0,cluster_1,range_pp
alcohol,98.38,98.041,0.338
amphet,65.394,33.692,31.701
amyl,32.755,29.089,3.666
benzos,63.542,32.909,30.633
cannabis,95.602,63.271,32.331
choc,98.495,98.139,0.356
caff,99.421,97.845,1.576
coke,61.69,30.754,30.936
crack,22.106,6.562,15.544
ecstasy,68.171,26.934,41.237
heroin,25.463,5.877,19.586
ketamine,32.176,11.459,20.717
legalh,69.444,18.707,50.737
lsd,65.509,24.486,41.023
meth,40.856,10.088,30.768
mushrooms,70.602,28.697,41.904
nicotine,88.426,67.875,20.551
vsa,35.532,12.047,23.485
semer,0.81,0.098,0.712
