,cluster_0,cluster_1,range_pp
alcohol,93.981,91.773,2.209
amphet,41.782,7.346,34.437
amyl,11.111,3.624,7.487
benzos,46.759,12.831,33.929
cannabis,84.144,26.641,57.503
choc,97.917,97.356,0.561
caff,98.148,95.593,2.556
coke,37.5,9.109,28.391
crack,8.333,0.686,7.648
ecstasy,47.222,10.676,36.546
heroin,12.616,0.881,11.734
ketamine,19.329,4.016,15.313
legalh,52.778,10.578,42.2
lsd,38.194,4.897,33.297
meth,31.25,4.897,26.353
mushrooms,43.981,5.289,38.693
nicotine,76.62,38.981,37.639
vsa,9.722,1.077,8.645
semer,0.231,0.098,0.134
