,cluster_0,cluster_1,range_pp,chi2,p,dof,cramers_v,p_adj_bh
legalh,69.444,18.707,50.737,492.584,0.0,1,0.511,0.0
mushrooms,70.602,28.697,41.904,327.609,0.0,1,0.417,0.0
ecstasy,68.171,26.934,41.237,318.882,0.0,1,0.411,0.0
lsd,65.509,24.486,41.023,319.141,0.0,1,0.411,0.0
cannabis,95.602,63.271,32.331,284.017,0.0,1,0.388,0.0
meth,40.856,10.088,30.768,239.906,0.0,1,0.357,0.0
amphet,65.394,33.692,31.701,187.091,0.0,1,0.315,0.0
coke,61.69,30.754,30.936,179.756,0.0,1,0.309,0.0
benzos,63.542,32.909,30.633,175.083,0.0,1,0.305,0.0
vsa,35.532,12.047,23.485,145.263,0.0,1,0.278,0.0
heroin,25.463,5.877,19.586,140.402,0.0,1,0.273,0.0
ketamine,32.176,11.459,20.717,120.009,0.0,1,0.252,0.0
nicotine,88.426,67.875,20.551,111.455,0.0,1,0.243,0.0
crack,22.106,6.562,15.544,94.405,0.0,1,0.224,0.0
caff,99.421,97.845,1.576,7.155,0.007,1,0.062,0.009
semer,0.81,0.098,0.712,4.059,0.044,1,0.046,0.052
amyl,32.755,29.089,3.666,2.782,0.095,1,0.038,0.107
alcohol,98.38,98.041,0.338,0.142,0.707,1,0.009,0.707
choc,98.495,98.139,0.356,0.174,0.676,1,0.01,0.707
