,cluster_0,cluster_1,range_pp,chi2,p,dof,cramers_v,p_adj_bh
cannabis,70.37,17.63,52.741,532.901,0.0,1,0.532,0.0
nicotine,63.889,31.636,32.253,194.44,0.0,1,0.321,0.0
legalh,23.611,3.624,19.987,165.875,0.0,1,0.297,0.0
amphet,23.264,3.624,19.64,161.855,0.0,1,0.293,0.0
lsd,17.593,1.371,16.221,151.322,0.0,1,0.283,0.0
benzos,26.968,6.464,20.503,145.877,0.0,1,0.278,0.0
ecstasy,22.222,4.701,17.521,127.725,0.0,1,0.26,0.0
mushrooms,16.319,1.763,14.556,126.51,0.0,1,0.259,0.0
meth,16.667,2.644,14.022,109.858,0.0,1,0.241,0.0
coke,15.046,2.84,12.206,88.699,0.0,1,0.217,0.0
heroin,5.903,0.196,5.707,53.707,0.0,1,0.169,0.0
ketamine,7.292,1.567,5.725,36.781,0.0,1,0.14,0.0
vsa,3.472,0.392,3.08,23.363,0.0,1,0.111,0.0
amyl,3.935,0.686,3.25,21.723,0.0,1,0.107,0.0
crack,2.315,0.0,2.315,21.733,0.0,1,0.107,0.0
caff,94.676,92.654,2.022,2.856,0.091,1,0.039,0.108
alcohol,81.134,83.252,2.117,1.298,0.255,1,0.026,0.285
choc,94.444,95.005,0.56,0.194,0.66,1,0.01,0.697
semer,0.0,0.098,0.098,0.0,1.0,1,0.0,1.0
