,cluster_0,cluster_1,range_pp,chi2,p,dof,cramers_v,p_adj_bh
cannabis,84.144,26.641,57.503,618.895,0.0,1,0.573,0.0
legalh,52.778,10.578,42.2,395.449,0.0,1,0.458,0.0
mushrooms,43.981,5.289,38.693,393.139,0.0,1,0.457,0.0
lsd,38.194,4.897,33.297,320.3,0.0,1,0.412,0.0
ecstasy,47.222,10.676,36.546,312.191,0.0,1,0.407,0.0
amphet,41.782,7.346,34.437,310.198,0.0,1,0.406,0.0
nicotine,76.62,38.981,37.639,267.854,0.0,1,0.377,0.0
benzos,46.759,12.831,33.929,263.365,0.0,1,0.374,0.0
meth,31.25,4.897,26.353,228.725,0.0,1,0.348,0.0
coke,37.5,9.109,28.391,217.312,0.0,1,0.34,0.0
ketamine,19.329,4.016,15.313,110.229,0.0,1,0.242,0.0
heroin,12.616,0.881,11.734,107.82,0.0,1,0.239,0.0
vsa,9.722,1.077,8.645,71.283,0.0,1,0.194,0.0
crack,8.333,0.686,7.648,66.275,0.0,1,0.188,0.0
amyl,11.111,3.624,7.487,38.871,0.0,1,0.144,0.0
caff,98.148,95.593,2.556,8.962,0.003,1,0.069,0.003
alcohol,93.981,91.773,2.209,3.088,0.079,1,0.04,0.088
choc,97.917,97.356,0.561,0.414,0.52,1,0.015,0.549
semer,0.231,0.098,0.134,0.021,0.885,1,0.003,0.885
