,cluster_0,cluster_1,range_pp
alcohol,93.98148148148148,91.77277179236043,2.2087096891210507
amphet,41.782407407407405,7.345739471106757,34.43666793630065
amyl,11.11111111111111,3.623898139079334,7.487212972031777
benzos,46.75925925925926,12.830558276199804,33.92870098305946
cannabis,84.14351851851852,26.64054848188051,57.502970036638004
choc,97.91666666666666,97.35553379040157,0.5611328762650913
caff,98.14814814814815,95.59255631733595,2.5555918308122045
coke,37.5,9.10871694417238,28.39128305582762
crack,8.333333333333332,0.6856023506366308,7.647730982696701
ecstasy,47.22222222222222,10.675808031341822,36.5464141908804
heroin,12.61574074074074,0.881488736532811,11.73425200420793
ketamine,19.328703703703702,4.015670910871695,15.313032792832008
legalh,52.77777777777778,10.577864838393731,42.19991293938405
lsd,38.19444444444444,4.897159647404505,33.297284797039936
meth,31.25,4.897159647404505,26.352840352595493
mushrooms,43.98148148148148,5.288932419196866,38.69254906228461
nicotine,76.62037037037037,38.98139079333986,37.638979577030504
vsa,9.722222222222223,1.0773751224289911,8.644847099793232
semer,0.23148148148148145,0.0979431929480901,0.13353828853339134
