,cluster_0,cluster_1,range_pp,chi2,p,dof,cramers_v,p_adj_bh
legalh,69.44444444444444,18.707149853085212,50.73729459135923,492.5843996142768,3.903724749782555e-109,1,0.5111927071860992,7.417077024586855e-108
mushrooms,70.60185185185185,28.697355533790404,41.90449631806145,327.60869626967224,3.188762404155967e-73,1,0.41689053341847127,3.029324283948168e-72
ecstasy,68.17129629629629,26.93437806072478,41.23691823557151,318.88227827474157,2.537269168055136e-71,1,0.411300762687271,1.2052028548261895e-70
lsd,65.50925925925925,24.48579823702253,41.023461022236724,319.14089349226526,2.2286096756191073e-71,1,0.4114675124344571,1.2052028548261895e-70
cannabis,95.60185185185185,63.27130264446621,32.33054920738564,284.0167698939667,1.0006776939850147e-63,1,0.388164947501636,3.8025752371430557e-63
meth,40.85648148148148,10.088148873653282,30.7683326078282,239.90555110149216,4.123819208113021e-54,1,0.3567504020890685,1.3058760825691233e-53
amphet,65.39351851851852,33.692458374142994,31.701060144375525,187.09077069260832,1.3720759208478063e-42,1,0.31504348627676076,3.7242060708726176e-42
coke,61.68981481481482,30.754162585700296,30.93565222911452,179.75608674031386,5.478689302251914e-41,1,0.3088062810657042,1.3011887092848296e-40
benzos,63.541666666666664,32.90891283055827,30.632753836108392,175.08335515969063,5.741218559629059e-40,1,0.30476616697123693,1.2120350292550236e-39
vsa,35.532407407407405,12.047012732615084,23.48539467479232,145.26287453015934,1.881440118758662e-33,1,0.27760139212051216,3.5747362256414574e-33
heroin,25.462962962962965,5.8765915768854065,19.58637138607756,140.4024522685479,2.1737400411529903e-32,1,0.2729176790882396,3.754641889264256e-32
ketamine,32.175925925925924,11.459353574926542,20.71657235099938,120.00852441764545,6.298942476953063e-28,1,0.25231924161874497,9.973325588509018e-28
nicotine,88.42592592592592,67.87463271302644,20.55129321289948,111.45471211490728,4.70429752574169e-26,1,0.24316078678668573,6.875511768391701e-26
crack,22.10648148148148,6.562193927522038,15.544287553959443,94.40488333483378,2.5715705444524105e-22,1,0.22379045159563,3.489988596042557e-22
caff,99.42129629629629,97.84524975514202,1.5760465411542697,7.154938562745987,0.0074757855574580055,1,0.06160944225897571,0.009469328372780141
semer,0.8101851851851851,0.0979431929480901,0.7122419922370951,4.05864857826592,0.043945655708021635,1,0.046401823447351886,0.05218546615327569
amyl,32.754629629629626,29.08912830558276,3.665501324046865,2.782179655790638,0.09531836557519555,1,0.03841819070541013,0.10653229093698326
alcohol,98.37962962962963,98.0411361410382,0.338493488591439,0.14178680564411986,0.7065111077601474,1,0.008672857921855378,0.7065111077601474
choc,98.49537037037037,98.13907933398629,0.35629103638407855,0.17449750356331642,0.6761452789309896,1,0.009621414653131254,0.7065111077601474
