,cluster_0,cluster_1,range_pp,chi2,p,dof,cramers_v,p_adj_bh
cannabis,70.37037037037037,17.62977473065622,52.740595639714144,532.9011792727512,6.603660955910811e-118,1,0.531701228041335,1.2546955816230541e-116
nicotine,63.888888888888886,31.635651322233105,32.253237566655784,194.44016553456726,3.413469648820929e-44,1,0.3211717320230702,3.2427961663798823e-43
legalh,23.61111111111111,3.623898139079334,19.987212972031777,165.87500658351394,5.890737821923368e-38,1,0.2966434745155983,3.730800620551466e-37
amphet,23.26388888888889,3.623898139079334,19.639990749809556,161.85450765836052,4.451177194999819e-37,1,0.2930263815703502,2.114309167624914e-36
lsd,17.59259259259259,1.3712047012732616,16.22138789131933,151.32232984927782,8.911238619266364e-35,1,0.2833321338346171,3.3862706753212185e-34
benzos,26.96759259259259,6.464250734573946,20.503341858018644,145.87731549483445,1.3808988145779292e-33,1,0.27818787946949053,4.372846246163443e-33
ecstasy,22.22222222222222,4.701273261508325,17.520948960713895,127.72505902815234,1.2892042405090487e-29,1,0.2603049212065051,3.4992686528102756e-29
mushrooms,16.319444444444446,1.762977473065622,14.556466971378825,126.5103555620774,2.3775782343263947e-29,1,0.2590641754132254,5.646748306525187e-29
meth,16.666666666666664,2.644466209598433,14.022200457068232,109.85825832804372,1.0525408363028525e-25,1,0.2414130136195039,2.222030654417133e-25
coke,15.046296296296296,2.840352595494613,12.205943700801683,88.69909328338204,4.596758744842782e-21,1,0.21692215631649625,8.733841615201286e-21
heroin,5.902777777777778,0.1958863858961802,5.706891391881597,53.70728767988594,2.326984920581401e-13,1,0.16879552661031338,4.019337590095147e-13
ketamine,7.291666666666667,1.5670910871694417,5.724575579497225,36.78140247954663,1.3214483042870872e-09,1,0.1396877960328038,2.0922931484545547e-09
vsa,3.4722222222222223,0.3917727717923604,3.080449450429862,23.363224675086762,1.341182432538792e-06,1,0.11132961711629516,1.9601897090951575e-06
amyl,3.935185185185185,0.6856023506366308,3.2495828345485545,21.72317054657491,3.1496398272444127e-06,1,0.10735095903936322,3.9895437811762565e-06
crack,2.314814814814815,0.0,2.314814814814815,21.733489627575707,3.1327435311174273e-06,1,0.10737645328562177,3.9895437811762565e-06
caff,94.67592592592592,92.65426052889325,2.0216653970326774,2.8564350530060536,0.09100899223313898,1,0.03892749877330827,0.10807317827685253
alcohol,81.13425925925925,83.2517140058766,2.117454746617341,1.2976257403281224,0.25464736527023235,1,0.026237294414844025,0.2846058788314362
choc,94.44444444444444,95.0048971596474,0.5604527152029561,0.19350886394824018,0.6600121259130969,1,0.01013199004409836,0.6966794662416023
semer,0.0,0.0979431929480901,0.0979431929480901,0.0,1.0,1,0.0,1.0
