,cluster_0,cluster_1,range_pp,chi2,p,dof,cramers_v,p_adj_bh
cannabis,84.14351851851852,26.64054848188051,57.502970036638004,618.8947817766592,1.3005840847216344e-136,1,0.5729975080038299,2.4711097609711052e-135
legalh,52.77777777777778,10.577864838393731,42.19991293938405,395.44868956933834,5.391526434428707e-88,1,0.45802522116124583,5.121950112707272e-87
mushrooms,43.98148148148148,5.288932419196866,38.69254906228461,393.13944809311386,1.715625695243247e-87,1,0.45668593303134225,1.0865629403207231e-86
lsd,38.19444444444444,4.897159647404505,33.297284797039936,320.2999244723722,1.2461527818844564e-71,1,0.4122140030802883,5.919225713951168e-71
ecstasy,47.22222222222222,10.675808031341822,36.5464141908804,312.19125863934744,7.275771988923493e-70,1,0.4069627806672991,2.7647933557909274e-69
amphet,41.782407407407405,7.345739471106757,34.43666793630065,310.19812475053124,1.977263696123767e-69,1,0.40566160699553794,6.261335037725262e-69
nicotine,76.62037037037037,38.98139079333986,37.638979577030504,267.85368481141836,3.33193168129526e-60,1,0.37695814823836726,9.043814563515706e-60
benzos,46.75925925925926,12.830558276199804,33.92870098305946,263.3651089400659,3.1697172279961985e-59,1,0.37378635363599244,7.528078416490971e-59
meth,31.25,4.897159647404505,26.352840352595493,228.72451452714478,1.1311181983109357e-51,1,0.3483378604187862,2.3879161964341978e-51
coke,37.5,9.10871694417238,28.39128305582762,217.3121113096297,3.48896572032257e-49,1,0.33953635988919684,6.629034868612884e-49
ketamine,19.328703703703702,4.015670910871695,15.313032792832008,110.22885952278673,8.730625307885297e-26,1,0.24181986798690158,1.508017098634733e-25
heroin,12.61574074074074,0.881488736532811,11.73425200420793,107.81973456075549,2.9437062369372066e-25,1,0.23916270230842246,4.66086820848391e-25
vsa,9.722222222222223,1.0773751224289911,8.644847099793232,71.28317347942631,3.0946374703084263e-17,1,0.19446338254511897,4.522931687373854e-17
crack,8.333333333333332,0.6856023506366308,7.647730982696701,66.2752080785016,3.921602518113225e-16,1,0.1875080307083058,5.322174846010805e-16
amyl,11.11111111111111,3.623898139079334,7.487212972031777,38.870621474124334,4.528447595406438e-10,1,0.14360020664911344,5.736033620848155e-10
caff,98.14814814814815,95.59255631733595,2.5555918308122045,8.961588950743527,0.002757149906514832,1,0.06895040677587697,0.0032741155139863628
alcohol,93.98148148148148,91.77277179236043,2.2087096891210507,3.0883953016150545,0.0788525347847353,1,0.040477228111022535,0.08812930358293947
choc,97.91666666666666,97.35553379040157,0.5611328762650913,0.4144656998507121,0.5197115508258825,1,0.014828206325735222,0.5485844147606538
semer,0.23148148148148145,0.0979431929480901,0.13353828853339134,0.02099001839065885,0.8848061516008556,1,0.00333695793664028,0.8848061516008556
